family_member_id,client_id,family_member_name,gender,relationship,date_of_birth,age,monthly_upkeep,support_until_age,last_updated
93761f24-e731-44d3-b31e-f1b0b2c4e522,dce2b16e-b396-4fcd-9327-acc092ec1c89,James Dean,Male,Spouse,1982-05-24,43,0,,2025-11-07
417732df-f10c-4839-a352-4208aef3b1b9,dce2b16e-b396-4fcd-9327-acc092ec1c89,Philip Newton,Male,Parent,1955-09-14,70,500,80.0,2025-11-07
a4f67c47-3f20-42f4-890a-04366d9dbe0b,3232eecd-2662-4276-a9ee-5ec5ee126212,Dawn Turner,Female,Child,2018-04-19,7,200,25.0,2025-12-23
ad25bece-9927-425f-9404-30aa9b7f5062,3232eecd-2662-4276-a9ee-5ec5ee126212,Terry Turner,Male,Child,2019-06-28,6,100,21.0,2025-12-23
f1b5d449-3a0c-4ade-9d00-58d8116ddba6,3232eecd-2662-4276-a9ee-5ec5ee126212,Tammy Turner,Female,Parent,1954-07-15,71,500,90.0,2025-12-23
0d6fb90a-aa95-4b42-bbbf-697227731d32,3232eecd-2662-4276-a9ee-5ec5ee126212,Jason Turner,Male,Parent,1958-05-17,67,300,95.0,2025-12-23
669cb7d7-2f2a-48ae-8fd6-c8dfee185a78,0c43686e-5520-43d2-9b04-60a351f7fa80,David Chan,Male,Spouse,1995-07-22,30,0,,2026-02-18
4d53f9ec-c753-4cba-b42f-bc78cc0c8694,b311347c-139b-41e6-a994-0350b2f2de3c,Crystal Wood,Female,Child,2012-04-03,13,200,21.0,2026-03-18
894c9694-f034-4429-a7c2-2641bfad95ad,b311347c-139b-41e6-a994-0350b2f2de3c,Larry Wood,Male,Child,1982-09-02,43,100,21.0,2026-03-18
02ef7086-7340-4f75-8b48-13d45c8308d7,25f37d3a-8d37-4f30-b47f-ccb7a9dbac71,Tiffany Smith,Female,Spouse,1947-03-06,79,0,,2026-03-29
fb0fccec-953b-443a-8890-3b56b92c244b,2ea49977-1f57-46f0-b021-316846133650,Robin Hamilton,Female,Child,1995-10-03,30,300,21.0,2025-12-19
22450232-23e7-4ac2-933f-c4068391fee1,401a3588-d23b-408f-8e17-ce190b6e0ea2,Maria Brown,Female,Child,2001-07-18,24,100,21.0,2026-03-29
66692622-e07e-4e42-92f8-9096f35a9aca,6cc176c9-b469-4d3e-807d-b70bdb9fb86c,Kimberly Hernandez,Female,Child,2006-10-29,19,100,21.0,2025-12-03
0ea5a05b-68c6-4509-89b0-df28669a3d8a,6cc176c9-b469-4d3e-807d-b70bdb9fb86c,Lacey Hernandez,Female,Child,2013-01-09,13,400,21.0,2025-12-03
1cc66d84-1279-434d-ad3d-4217f8d3270a,6cc176c9-b469-4d3e-807d-b70bdb9fb86c,Daniel Hernandez,Male,Child,2006-11-18,19,400,21.0,2025-12-03
ae4dccc8-d528-4660-a94f-adfe81ac43b6,22fc43bc-f4a3-4d6b-b1a5-4b56cb2cbd53,Stephanie Costa,Female,Child,2003-02-02,23,300,21.0,2026-01-29
0edf441f-a9ab-49b7-9c9f-0315e0abb48c,361e5649-3cfb-4781-8ab7-0916c16905b1,Jamie Mitchell,Female,Child,1986-09-26,39,100,21.0,2026-01-30
c86a2b8c-8e3d-40d9-adc9-649bb9fdee63,361e5649-3cfb-4781-8ab7-0916c16905b1,Zachary Mitchell,Male,Child,2022-04-17,3,100,21.0,2026-01-30
1d1b12d4-36af-44ca-b0dc-98ba111bbe27,38342a43-0352-4836-9596-dd6bde6dac23,Nicole Jones,Female,Parent,1930-06-08,95,500,90.0,2026-02-22
843656ed-cb38-45c9-8be8-23eb2c64ba9f,38342a43-0352-4836-9596-dd6bde6dac23,Donna Jones,Female,Parent,1933-07-13,92,0,85.0,2026-02-22
53db6fc1-ba5e-4d25-9c04-a2f81fb99085,dcd28f09-bb93-41e7-a3af-b5eee143fe43,Jennifer Ramos,Female,Child,2014-09-06,11,300,21.0,2026-03-03
51c4cae6-6d46-495d-b3a4-decfd2d3bc14,5e253878-0991-4149-ab3d-90115a51e51a,Tracy Goodwin,Female,Child,1991-07-29,34,400,21.0,2025-09-18
8834c822-9481-4179-8012-842ad1700467,5e253878-0991-4149-ab3d-90115a51e51a,Tracy Goodwin,Male,Child,2012-03-12,14,200,21.0,2025-09-18
fd790578-cb03-496c-aa70-db963b29abb9,5e253878-0991-4149-ab3d-90115a51e51a,Mary Goodwin,Female,Parent,1941-07-09,84,100,80.0,2025-09-18
65ad6b81-ff8e-48f4-88db-679f979704cc,cb0ed15a-7d3a-43c6-a2a0-cfb4aed038e0,Leonard Bowman,Male,Parent,1939-08-21,86,100,90.0,2026-02-16
7dcecbe0-37cb-49da-a424-b08359ff8119,cb0ed15a-7d3a-43c6-a2a0-cfb4aed038e0,Curtis Bowman,Male,Parent,1940-02-11,86,400,70.0,2026-02-16
d0ba94dc-260f-4bc6-acac-22072bb502b3,dda67e55-a8ed-4c43-bcd3-8c9cc6769873,Brian Frank,Male,Spouse,1973-09-01,52,0,,2026-02-01
bed5502c-7b78-47dc-b264-2b540915bb1d,dda67e55-a8ed-4c43-bcd3-8c9cc6769873,Tonya Frank,Female,Child,2019-09-10,6,400,21.0,2026-02-01
28145a60-f7c5-477f-8d3f-8f7c16b48c58,708b9ad6-a24c-44f6-b6d6-b76b61e95ad0,Albert Lopez,Male,Parent,1953-05-18,72,100,90.0,2026-03-01
c2269bec-6b4d-47e3-9b7f-0fd81d9d1266,708b9ad6-a24c-44f6-b6d6-b76b61e95ad0,Ryan Lopez,Male,Parent,1944-03-23,82,200,80.0,2026-03-01
b29928b5-9c68-4a71-9356-cbd2e2b1295e,a83153cb-6336-4cba-9697-82dc39ef99fc,Jamie Chavez,Female,Spouse,1959-04-15,67,0,,2025-09-12
85388796-9194-414d-8045-0ed8f433648f,0454de64-a06e-44ff-8577-79359bc7758a,Miguel Lewis,Male,Child,1994-09-09,31,100,21.0,2026-01-19
40ede4a9-cf63-41a7-aee1-5f574b7b5c29,0454de64-a06e-44ff-8577-79359bc7758a,Paul Lewis,Male,Child,2007-07-11,18,400,24.0,2026-01-19
925cee1b-87ca-4715-a463-93dbc529641d,0454de64-a06e-44ff-8577-79359bc7758a,Jesse Lewis,Male,Child,2002-11-19,23,300,21.0,2026-01-19
9401acfe-5217-4e88-952c-f21286365d5d,a7268584-f6a8-46cd-bbe0-1f43c66835dc,Debbie Martinez,Female,Child,1997-05-16,28,400,21.0,2026-03-24
d5456001-4529-4dbf-a524-03798b412463,a7268584-f6a8-46cd-bbe0-1f43c66835dc,Edward Martinez,Male,Child,2015-12-09,10,400,21.0,2026-03-24
ce8cb55b-d9e6-4a89-afd8-d7f25e29e6c4,a7268584-f6a8-46cd-bbe0-1f43c66835dc,Tami Martinez,Female,Child,2001-12-11,24,200,21.0,2026-03-24
9c5ec242-3984-4833-a326-4d06a71d2e0a,c186404b-5e70-4220-9c9f-eaa52b7fc28e,Jennifer Johnson,Female,Spouse,2003-09-25,22,0,,2025-12-26
3a8cf7b6-e4f8-452f-b45c-d9b07a759805,8eb214a3-7752-4c2b-96da-26311aa08011,Madison Tyler,Female,Spouse,1996-12-05,29,0,,2026-03-29
cc76d21e-aa0b-4f6f-8354-bb20ba5fc2d7,726403d9-7fcf-43f3-8f2e-a5356988c531,William Williams,Male,Parent,1955-12-28,70,0,80.0,2025-10-23
5e767846-741e-4d07-83ab-f530f6f9a5e5,726403d9-7fcf-43f3-8f2e-a5356988c531,Jeff Williams,Male,Parent,1950-04-17,76,0,85.0,2025-10-23
e0ae3a3e-d437-432a-a88f-746607463900,e18bffee-7785-4eaa-84fd-55eda3f36431,Rachel Murphy,Female,Spouse,1960-03-09,66,0,,2026-01-23
b8836110-e02d-4769-b68b-f4a8ba00e0a4,2666e785-be8e-466b-8151-1fc05403f1d9,Alexis Fields,Female,Spouse,1984-08-13,41,0,,2026-01-29
5888847f-a7bb-494e-8f37-f887472ba9e0,2666e785-be8e-466b-8151-1fc05403f1d9,Victoria Mccarthy,Female,Child,2007-08-24,18,400,21.0,2026-01-29
727fdbb4-3741-49d1-946b-1e639e898997,1f516996-57be-4f8a-9a17-7aa040ce855a,Linda Moody,Female,Child,2002-04-20,23,300,25.0,2026-01-27
51c03618-f90b-42a0-95e6-d3c4b4322015,1f516996-57be-4f8a-9a17-7aa040ce855a,Sean Moody,Male,Child,1979-04-19,46,300,21.0,2026-01-27
53e5831e-58e3-4ce9-adb2-d5584e377865,3c82bc5d-d68c-400a-8da1-e1c0bbe6958c,Erica Lewis,Female,Parent,1938-05-12,87,300,95.0,2026-02-21
