client_id,assigned_user_id,title,name_as_per_id,gender,date_of_birth,age,smoker_status,race,marital_status,qualification,nationality,singapore_pr,id_type,id_no,id_expiry_date,fin_no,fin_expiry_date,languages_spoken,languages_written,email,mobile_no,home_no,office_no,occupation,employment_status,address_type,postal_district,house_block_no,street_name,building_name,unit_no,risk_profile,last_updated
dce2b16e-b396-4fcd-9327-acc092ec1c89,8bbe0782-82b8-47d3-8eae-c704122bb281,Ms.,Alicia Newton,Female,1985-03-30,41,Non-smoker,Indian,Married,O-Levels,Netherlands,No,Passport,T7865381Z,2030-05-28,P3901385T,2026-10-12,"{English,Malay,Mandarin}","{English,Malay}",alicia.newton@hotmail.com,88384231,,,Student,Student,Local,157495,65403,Stanley Lake,Sky Heights,#08-43,Level 1,2025-11-07
3232eecd-2662-4276-a9ee-5ec5ee126212,3770f878-1cb9-432b-8fec-135dca096f63,Ms.,Alexis Turner,Female,1988-01-19,38,Non-smoker,Malay,Widowed,PhD,Indonesia,Yes,NRIC,A8811868F,,,,"{English,Malay}","{English,Malay}",alexis.turner@hotmail.com,83815727,62438314,61703341,Teacher,Full-time,Overseas,004307,195,Jeffery Forge,Green View,#27-80,Level 2,2025-12-23
0c43686e-5520-43d2-9b04-60a351f7fa80,4fe8c159-878f-4556-b391-1af37d040a01,Ms.,Catherine Meyer,Female,1999-11-08,26,Non-smoker,Chinese,Married,None,Singaporean,No,NRIC,U2994321R,,,,"{Hokkien,Tamil}",{Tamil},catherine.meyer@yahoo.com,81097932,,,Teacher,Full-time,Local,682495,12694,Mays Courts,Ocean View,#36-27,Level 3,2026-02-18
b311347c-139b-41e6-a994-0350b2f2de3c,3770f878-1cb9-432b-8fec-135dca096f63,Mr.,Daryl Wood,Male,1958-10-26,67,Non-smoker,Chinese,Divorced,Bachelors,Singaporean,No,NRIC,N6341249B,,,,"{English,Mandarin}",{Mandarin},daryl.wood@gmail.com,84569193,69535099,,Business Owner,Full-time,Local,220063,923,Kennedy Common,Garden Court,#18-87,Level 2,2026-03-18
25f37d3a-8d37-4f30-b47f-ccb7a9dbac71,92ff7ca8-a16b-41f6-95ed-1d46c5764d3d,Mr.,Terry Ellis,Male,1948-06-11,77,Smoker,Others,Married,Masters,Singaporean,No,NRIC,C0198855A,,,,"{Cantonese,Mandarin,Tamil}",{Tamil},terry.ellis@gmail.com,85100774,,,Business Owner,Part-time,Overseas,950004,512,Sharon Via,Park Plaza,#25-83,Level 1,2026-03-29
2ea49977-1f57-46f0-b021-316846133650,4fe8c159-878f-4556-b391-1af37d040a01,Mr.,Dwayne Hamilton,Male,1956-05-08,69,Smoker,Others,Widowed,A-Levels,Singaporean,No,NRIC,S5561504N,,,,{English},{English},dwayne.hamilton@hotmail.com,80114991,,69567752,Retired,Retired,Overseas,080270,6866,Peterson Fall,Ocean Suites,#11-26,Level 3,2025-12-19
401a3588-d23b-408f-8e17-ce190b6e0ea2,8bbe0782-82b8-47d3-8eae-c704122bb281,Mrs.,Hannah Brown,Female,1977-05-18,48,Non-smoker,Indian,Single,O-Levels,Panama,Yes,NRIC,O2118963M,,,,{English},{English},hannah.brown@hotmail.com,83292209,,,Artist,Full-time,Overseas,429977,9394,Richards Shoals,Royal Towers,#07-04,Level 2,2026-03-29
6cc176c9-b469-4d3e-807d-b70bdb9fb86c,8bbe0782-82b8-47d3-8eae-c704122bb281,Mr.,Nathan Hernandez,Male,1979-10-22,46,Non-smoker,Indian,Single,PhD,Singaporean,No,NRIC,O4391367R,,,,{English},{English},nathan.hernandez@yahoo.com,82836705,,,Artist,Full-time,Local,557399,7057,Braun Alley,Golden Plaza,#02-13,Level 2,2025-12-03
22fc43bc-f4a3-4d6b-b1a5-4b56cb2cbd53,3770f878-1cb9-432b-8fec-135dca096f63,Mr.,Johnny Costa,Male,1942-08-12,83,Non-smoker,Chinese,Widowed,None,Swaziland,Yes,NRIC,E3567985T,,,,"{English,Malay,Tamil}","{Malay,Tamil}",johnny.costa@hotmail.com,80128331,66932376,64265841,Business Owner,Full-time,Local,196685,44373,Hernandez Parks,Silver Apartments,#49-33,Level 1,2026-01-29
9f482eb2-30bb-4f6c-9bc1-527547ff2ce1,20a4bde5-b3dc-4d3e-9838-30efc71ae755,Ms.,Jessica Neal,Female,2004-04-21,21,Non-smoker,Others,Widowed,None,Singaporean,No,NRIC,P5017056K,,,,"{Cantonese,English,Malay}","{English,Malay}",jessica.neal@gmail.com,84425479,,68505146,Student,Student,Local,616187,879,Janice Village,Silver Court,#15-22,Level 2,2026-02-28
361e5649-3cfb-4781-8ab7-0916c16905b1,3770f878-1cb9-432b-8fec-135dca096f63,Mr.,Darrell Mitchell,Male,1944-04-19,81,Smoker,Others,Single,O-Levels,Singaporean,No,NRIC,C1022285J,,,,"{English,Mandarin,Tamil}",{English},darrell.mitchell@hotmail.com,85368085,,,Business Owner,Full-time,Local,763487,525,Edwards Points,Bush Heights,#49-60,Level 2,2026-01-30
